"","V9"
"1",94.1
"2",93.2
"3",90.6
"4",91.4
"5",88.2
"6",86.1
"7",95.1
"8",90
"9",92.4
"10",87.3
"11",86.6
"12",91.2
"13",86.1
"14",90.4
"15",89.1
"16",87.3
"17",84.1
"18",90.1
"19",95.2
"20",86.1
"21",94.3
"22",93.2
"23",86.7
"24",83
"25",95.3
"26",94.1
"27",97.8
"28",93.1
"29",86.4
"30",87.6
"31",94.1
"32",92.1
"33",96.4
"34",88.2
"35",86.4
"36",85
"37",84.9
"38",87.3
"39",89.6
"40",90.3
"41",93.1
"42",94.6
"43",96.3
"44",94.7
"45",91.1
"46",92.4
"47",90.6
"48",89.1
"49",88.8
"50",86.4
"51",85.1
"52",84
"53",93.7
"54",87.7
"55",90.6
"56",89.4
"57",88.6
"58",84.1
"59",82.6
"60",83.1
"61",84.6
"62",83.6
"63",85.4
"64",89.7
"65",87.6
"66",85.1
"67",89.6
"68",90
"69",90.1
"70",94.3
"71",97.3
"72",96.8
"73",94.4
"74",96.1
"75",98
"76",85.4
"77",86.6
"78",91.7
"79",87.5
"80",84.2
"81",85.1
"82",90.5
"83",95.6
"84",88.3
"85",84.1
"86",83.7
"87",82.9
"88",87.3
"89",86.4
"90",84.5
